,Biden_2020,Total_2020,Other_2020,Perc_Other_2020,Perc_Biden_2020,age_over_18_2019,age_over_65_2019,asian_2019,avg_family_size_2019,bachelors_2019,black_2019,hispanic_2019,households_speak_limited_english_2019,hs_grad_2019,median_age_2019,native_2019,other_single_race_2019,pac_isl_2019,per_capita_income_2019,pop_2019,two_plus_races_2019,unemployment_rate_2019,uninsured_2019,veterans_2019,white_2019,white_not_hispanic_2019,Winner_2020
200,114246,144796,3613,0.02495234674991023,0.7890135086604603,80.6,15.8,4.8,3.26,40.8,1.1,33.6,5.9,86.3,37.8,0.5,13.9,0.1,41312,273962,4.8,5.2,5.1,4.6,74.8,57.3,Biden
201,30000,92900,2111,0.022723358449946107,0.3229278794402583,78.4,20.2,3.2,2.98,22.2,1.2,10.0,1.1,91.1,41.5,2.7,2.0,0.1,29720,179212,4.2,5.1,6.5,9.8,86.6,79.8,Trump
202,730,1930,58,0.030051813471502542,0.3782383419689119,84.1,29.3,0.0,2.67,17.9,0.1,10.7,0.0,92.4,54.8,1.7,0.0,0.0,33747,3040,0.8,6.2,8.8,11.4,97.5,87.6,Trump
203,9593,23450,567,0.024179104477611957,0.4090831556503198,79.7,24.7,1.6,2.81,23.2,1.6,12.6,0.9,90.2,47.8,3.7,1.5,0.4,28615,43468,6.5,7.3,5.9,11.2,84.8,76.1,Trump
204,131639,205831,4886,0.023737920915702704,0.6395489503524736,77.6,15.2,15.4,3.35,26.9,13.9,26.5,4.7,88.4,38.1,0.5,9.1,0.9,35400,441829,7.5,5.7,4.7,9.8,52.6,38.0,Biden
205,199938,268252,6489,0.02418994080193257,0.7453364746581572,80.2,19.0,4.1,3.14,35.5,1.7,26.7,4.2,88.8,42.1,0.9,12.9,0.3,42178,499772,5.4,4.0,6.1,6.4,74.8,63.2,Biden
206,105841,214876,4890,0.022757311193432495,0.4925678065488933,72.8,12.8,5.5,3.6,17.1,3.0,46.3,8.4,78.9,34.1,0.8,9.2,0.7,26258,543194,4.2,8.6,5.7,5.3,76.6,41.9,Trump
207,17367,42640,898,0.02106003752345209,0.4072936210131332,73.9,15.0,15.7,3.43,18.2,1.9,31.0,8.6,78.2,35.7,0.9,4.9,0.6,27371,96109,7.1,7.8,8.0,8.5,69.0,46.2,Trump
208,8911,28721,669,0.023293060826572898,0.3102607847916159,76.1,19.3,1.5,3.18,15.7,0.8,25.0,3.5,84.5,41.0,2.0,5.4,0.0,24301,63912,4.5,8.2,6.3,9.0,85.7,68.3,Trump
209,2851,6258,219,0.03499520613614571,0.45557686161713,82.9,26.9,1.8,2.63,19.5,1.0,7.3,0.5,92.4,52.5,5.6,3.4,0.2,26523,12700,2.0,7.9,10.5,10.9,86.0,82.1,Trump
210,66105,146832,3148,0.021439468235807002,0.4502084014383785,69.0,11.2,3.6,3.77,14.6,1.6,64.6,16.9,70.8,31.0,1.3,16.2,0.2,21380,461898,3.4,9.2,8.1,4.6,73.7,28.5,Trump
211,11978,30401,734,0.024143942633466087,0.3940001973619288,83.4,25.6,1.4,2.8,20.5,1.8,12.2,1.0,90.7,48.4,1.8,2.6,0.2,34702,54045,4.4,5.4,5.5,11.5,87.8,80.2,Trump
212,251388,422698,9103,0.021535469768014015,0.5947224732551373,76.8,15.1,7.3,3.58,33.8,1.8,42.7,6.1,85.0,38.1,0.8,5.2,0.2,38595,847263,4.5,4.7,8.8,6.1,80.1,45.4,Biden
213,67598,97264,2374,0.024407797335088022,0.6949950649777924,78.8,12.1,14.0,3.28,41.4,2.7,31.6,6.2,86.5,31.0,0.6,6.7,0.4,34515,217352,6.3,5.7,4.8,4.5,69.3,46.7,Biden
